time,u1,u2,u3,u4,u5,y1,y2
1,0.66311319,0.77427568,0.47097005,0.096043797,0.01986524,0.083362383,0.19147575
2,0.65996003,0.76602112,0.47339843,0.11102285,0.027956697,0.081264999,0.17419153
3,0.65467015,0.76751878,0.47419789,0.10540988,0.02890677,0.079167644,0.16554378
4,0.65332529,0.76992209,0.47596348,0.066221392,0.029410771,0.07707026,0.16818991
5,0.6547261,0.76044864,0.47883328,0.033745797,0.031592118,0.074972877,0.17083602
6,0.65604863,0.77098426,0.48017255,0.076370141,0.029058979,0.072875522,0.17348215
7,0.65926527,0.76772795,0.47356379,0.072832152,0.030466383,0.070778138,0.17612826
8,0.66492525,0.77150668,0.46851845,0.037895968,0.028343903,0.068680754,0.17877438
9,0.65904122,0.76856382,0.46830528,0.2101169,0.1772503,0.066583399,0.1814205
10,0.65097178,0.75303016,0.46520867,0.40262388,0.38598671,0.064486016,0.18406661
11,0.64962692,0.75424926,0.46791992,0.39677287,0.44472593,0.062388661,0.18671274
12,0.64467326,0.76522016,0.46787067,0.37775683,0.47476993,0.060291277,0.18935885
13,0.64111288,0.7710714,0.46454992,0.40831626,0.49041343,0.058193893,0.20250373
14,0.64385881,0.77582537,0.44939745,0.42852289,0.4967811,0.056096538,0.22937779
15,0.64660448,0.7841842,0.43062363,0.40895116,0.49554983,0.053999155,0.25625185
16,0.65324675,0.78289571,0.42787682,0.39772522,0.49829967,0.051901785,0.26373447
17,0.66434212,0.76553361,0.42754065,0.39975497,0.50559959,0.049804416,0.2458591
18,0.67331933,0.75222898,0.42462166,0.41693406,0.50854902,0.047707032,0.22798374
19,0.6767377,0.76278216,0.41927567,0.40910999,0.50652598,0.045609663,0.21010836
20,0.67417682,0.76445388,0.41812774,0.39108611,0.50889472,0.060931809,0.17148348
21,0.66888129,0.76306071,0.42953038,0.39406278,0.5086487,0.081198474,0.14035593
22,0.66569102,0.76750144,0.44144408,0.42994026,0.50714748,0.078142607,0.15451548
23,0.66490642,0.77215113,0.44294458,0.43698186,0.50704218,0.075086711,0.16867503
24,0.66412183,0.77390978,0.4427478,0.39270211,0.50525953,0.072030845,0.18283457
25,0.66597855,0.77154157,0.4391701,0.37654352,0.50538875,0.068974978,0.19070991
26,0.66653882,0.77833316,0.43080673,0.41586812,0.50456767,0.065919111,0.19036741
27,0.66216802,0.75922954,0.42438388,0.43613144,0.51214317,0.062863215,0.19002491
28,0.65905224,0.75172412,0.43213781,0.43643763,0.51512191,0.059807348,0.18968243
29,0.65960713,0.75071398,0.43256688,0.4506117,0.5146878,0.056751481,0.18933992
30,0.66271726,0.75731416,0.42717989,0.38986717,0.51494601,0.053695615,0.18899744
31,0.66774946,0.76680474,0.4181223,0.38431089,0.5134448,0.050639733,0.18865494
32,0.67109467,0.7701833,0.41226791,0.40180743,0.50977443,0.047583852,0.18831245
33,0.6700021,0.78158968,0.41451186,0.37570436,0.50493119,0.046121657,0.18796995
34,0.67138058,0.76668292,0.4166997,0.37500131,0.50721807,0.046743469,0.18762745
35,0.67231472,0.76440164,0.41749917,0.37069251,0.50708322,0.047365295,0.18728497
36,0.66951284,0.78317447,0.41174594,0.37577252,0.5041807,0.047987121,0.18694247
37,0.66671096,0.78416706,0.40083801,0.39699965,0.50534161,0.048608947,0.18659998
38,0.66631476,0.7823384,0.39634745,0.38257608,0.50704218,0.049230759,0.18625748
39,0.66656975,0.78719706,0.39453538,0.42361297,0.50405171,0.049852585,0.18591498
40,0.66442631,0.76903399,0.39823335,0.43684575,0.50803869,0.050474411,0.18557249
41,0.66228287,0.76889461,0.40074234,0.42334076,0.50900049,0.051096237,0.18522999
42,0.66013943,0.78313958,0.39028813,0.43302449,0.50707712,0.051718048,0.18488751
43,0.66152625,0.77784544,0.38371765,0.40887175,0.51072427,0.052339874,0.18454501
44,0.66694792,0.77035737,0.38971962,0.39932413,0.51112297,0.052961701,0.18420252
45,0.67236959,0.75475412,0.38730626,0.39503785,0.51737314,0.053583527,0.18386002
46,0.67779127,0.76764082,0.3801892,0.42507557,0.51608347,0.054205338,0.18351752
47,0.67840748,0.78199027,0.38259847,0.44068993,0.50905912,0.054827179,0.18317504
48,0.67353236,0.76889461,0.38007715,0.42833009,0.51290538,0.05544899,0.18283253
49,0.66379315,0.75567712,0.38516075,0.40491438,0.51921442,0.056070802,0.16234029
50,0.65241751,0.75830674,0.39383707,0.36653088,0.51939032,0.056692642,0.13696758
